id,vt,special,suffix,date,dir,path,timestamp,md5
064489-metasys-20130311-rescan2B-bri,64489,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/064489~B-M-pyramid.tiff,1363641216,82f24a64924e6f66a8a3f331534805b4
019346-metasys-20130311-rescan2B-bri,19346,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/019346~B-M-pyramid.tiff,1363656558,993b45fe9e2e96e9c487937459592a3f
016278-metasys-20130311-rescan2B-bri,16278,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/016278~B-M-pyramid.tiff,1363629795,146c1395c7aa60f9c243849a67f70008
046265-metasys-20130311-rescan2B-bri,46265,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/046265~B-M-pyramid.tiff,1363637002,81a3c905b3b962eec8ebee89ccbff58f
8286-metasys-20130311-rescan2B-bri,8286,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/8286~B-M-pyramid.tiff,1363649983,b297cf36391ca66968a86216ea7ef75a
028336-metasys-20130311-rescan2B-bri,28336,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/028336~B-M-pyramid.tiff,1363627537,8c22b8b68709687b252156c78fe42a52
058913-metasys-20130311-rescan2B-bri,58913,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/058913~B-M-pyramid.tiff,1363632552,533eb38ee810fa7a224c243770654cdc
8473-metasys-20130311-rescan2B-bri,8473,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/8473~B-M-pyramid.tiff,1363652180,103665dcc2fa82624a86c1afb4b3808b
017647-metasys-20130311-rescan2B-bri,17647,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/017647~B-M-pyramid.tiff,1363648004,a767fa0bf44ed097c35a28c6704c49ee
0345-metasys-20130311-rescan2B-bri,345,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/0345~B-M-pyramid.tiff,1363643356,bf110e8f3527fa8d2919b34c3a12e4ce
043294-metasys-20130311-rescan2B-bri,43294,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/043294~B-M-pyramid.tiff,1363634817,4dc7d5ba0f57800fda274fbd66d73382
033487-metasys-20130311-rescan2B-bri,33487,0,metasys-20130311-rescan2B-bri,20130311,20130311-rescan2,20130311-rescan2/033487~B-M-pyramid.tiff,1363658816,7220dcf6cd91cf9fc70cc367b2fb5e7c
014970-metasys-20120619-bri,14970,0,metasys-20120619-bri,20120619,20120619,20120619/014970-M-pyramid.tiff,1343657988,74ac8254e40687fc7418233664771ae8
040842-metasys-20120619A-bri,40842,0,metasys-20120619A-bri,20120619,20120619,20120619/040842~A-M-pyramid.tiff,1343705896,70d3c685eedebf2e93292ee9c21e7cf4
054842-metasys-20120619A-bri,54842,0,metasys-20120619A-bri,20120619,20120619,20120619/054842~A-M-pyramid.tiff,1343723977,ce8abbef53fc429eda7aecbe92ad6595
037654-metasys-20120619-bri,37654,0,metasys-20120619-bri,20120619,20120619,20120619/037654-M-pyramid.tiff,1343695513,92635e10a5bd9e12042e74100b702649
015176-metasys-20120619-bri,15176,0,metasys-20120619-bri,20120619,20120619,20120619/015176-M-pyramid.tiff,1343660865,fdb7dc9553323f116e0be91ca9198c14
050105-metasys-20120619-bri,50105,0,metasys-20120619-bri,20120619,20120619,20120619/050105-M-pyramid.tiff,1343720456,c897388326e935fa7ad5f05639b6f676
2660-metasys-20120619-bri,2660,0,metasys-20120619-bri,20120619,20120619,20120619/2660-M-pyramid.tiff,1343749070,f76e600a4bb241c113dce903d25e9054
039497-metasys-20120619-bri,39497,0,metasys-20120619-bri,20120619,20120619,20120619/039497-M-pyramid.tiff,1343698542,b6754d1d7c57574895691754a4ecac9f
026733-metasys-20120619-bri,26733,0,metasys-20120619-bri,20120619,20120619,20120619/026733-M-pyramid.tiff,1343671432,8f926f76820b64302f0be7c777066580
022192-metasys-20120619A-bri,22192,0,metasys-20120619A-bri,20120619,20120619,20120619/022192~A-M-pyramid.tiff,1343665008,9bbb69ed23683cdd6be2473c2073f209
029814-metasys-20120619A-bri,29814,0,metasys-20120619A-bri,20120619,20120619,20120619/029814~A-M-pyramid.tiff,1343686564,899ee289caefa83d52fe3c7bc071801c
015163-metasys-20120619-bri,15163,0,metasys-20120619-bri,20120619,20120619,20120619/015163-M-pyramid.tiff,1343659445,19878d0dcf18615d4b167612e45399f9
062602-metasys-20120619-bri,62602,0,metasys-20120619-bri,20120619,20120619,20120619/062602-M-pyramid.tiff,1343742334,454af8247834679cc8e7de44e1e8b109
011168-metasys-20120619A-bri,11168,0,metasys-20120619A-bri,20120619,20120619,20120619/011168~A-M-pyramid.tiff,1343651056,b863fc42c81887ad771e417ee900222e
27273-metasys-20120619-bri,27273,0,metasys-20120619-bri,20120619,20120619,20120619/27273-M-pyramid.tiff,1343749868,bd47a2913a0235841ab2fe5b9a40a201
016996-metasys-20120619-bri,16996,0,metasys-20120619-bri,20120619,20120619,20120619/016996-M-pyramid.tiff,1343662996,e29b45af5c177f9ad7704d93df0ab802
037576-metasys-20120619A-bri,37576,0,metasys-20120619A-bri,20120619,20120619,20120619/037576~A-M-pyramid.tiff,1343695233,fc8aa857978b08d13935876694698573
022290-metasys-20120619-bri,22290,0,metasys-20120619-bri,20120619,20120619,20120619/022290-M-pyramid.tiff,1343669500,5c884f8be153ab950665be13dad3e502
026733-metasys-20120619A-bri,26733,0,metasys-20120619A-bri,20120619,20120619,20120619/026733~A-M-pyramid.tiff,1343671764,b1664d162e0b67eb938689ca8d1ca273
016836-metasys-20120619-bri,16836,0,metasys-20120619-bri,20120619,20120619,20120619/016836-M-pyramid.tiff,1343662223,157f86f8158de78ca22e64675dcf378b
1980-metasys-20120619A-bri,1980,0,metasys-20120619A-bri,20120619,20120619,20120619/1980~A-M-pyramid.tiff,1343747994,08749405b437ab8bceec41184947bfbb
041296-metasys-20120619A-bri,41296,0,metasys-20120619A-bri,20120619,20120619,20120619/041296~A-M-pyramid.tiff,1343707541,69486b6d7b15f99ed7aa21815305e83a
033785-metasys-20120619A-bri,33785,0,metasys-20120619A-bri,20120619,20120619,20120619/033785~A-M-pyramid.tiff,1343690129,e03de48abce18ba88ea05508ece90b2a
2660-metasys-20120619A-bri,2660,0,metasys-20120619A-bri,20120619,20120619,20120619/2660~A-M-pyramid.tiff,1343749325,fe11e62488c1d77dd726aa089940c5f7
2483-metasys-20120619-bri,2483,0,metasys-20120619-bri,20120619,20120619,20120619/2483-M-pyramid.tiff,1343748555,8c86a67da4ec72ce3b8ff5f553716a15
041292-metasys-20120619-bri,41292,0,metasys-20120619-bri,20120619,20120619,20120619/041292-M-pyramid.tiff,1343706486,00008b246f3832853ddae5354eeae9df
057063-metasys-20120619A-bri,57063,0,metasys-20120619A-bri,20120619,20120619,20120619/057063~A-M-pyramid.tiff,1343729134,af2de1ac4b49813151ba936f483310e0
046220-metasys-20120619-bri,46220,0,metasys-20120619-bri,20120619,20120619,20120619/046220-M-pyramid.tiff,1343716484,d374f5fc3f038665493627bb7499c855
027677-metasys-20120619-bri,27677,0,metasys-20120619-bri,20120619,20120619,20120619/027677-M-pyramid.tiff,1343679749,939d31241b6819c15d95a483bb56e3d8
042358-metasys-20120619-bri,42358,0,metasys-20120619-bri,20120619,20120619,20120619/042358-M-pyramid.tiff,1343708155,dd7a7ef474bef76cd59ad727ddad8be0
040842-metasys-20120619-bri,40842,0,metasys-20120619-bri,20120619,20120619,20120619/040842-M-pyramid.tiff,1343705638,8469fa1b283511c3b65d145aa2ff8ed3
027677-metasys-20120619A-bri,27677,0,metasys-20120619A-bri,20120619,20120619,20120619/027677~A-M-pyramid.tiff,1343680028,a2ad3655d793135b2c8523cdad844f9f
022287-metasys-20120619A-bri,22287,0,metasys-20120619A-bri,20120619,20120619,20120619/022287~A-M-pyramid.tiff,1343669167,05a157f854728e5106048f4fe3487fd8
057072-metasys-20120619-bri,57072,0,metasys-20120619-bri,20120619,20120619,20120619/057072-M-pyramid.tiff,1343729429,cf03c91820c34d7871f48b470cc1af8e
016996-metasys-20120619A-bri,16996,0,metasys-20120619A-bri,20120619,20120619,20120619/016996~A-M-pyramid.tiff,1343663309,f9448afc575c16733fadc04827aafbde
040569-metasys-20120619A-bri,40569,0,metasys-20120619A-bri,20120619,20120619,20120619/040569~A-M-pyramid.tiff,1343704447,55efc1c13596fbfa6f6f98f72281fdfe
039550-metasys-20120619-bri,39550,0,metasys-20120619-bri,20120619,20120619,20120619/039550-M-pyramid.tiff,1343701818,a03bfea8da8fe5b7b04e641a8a498dd7
046165-metasys-20120619-bri,46165,0,metasys-20120619-bri,20120619,20120619,20120619/046165-M-pyramid.tiff,1343715864,dfbdbc85c04c57c85ebb1f02195e9abf
042846-metasys-20120619-bri,42846,0,metasys-20120619-bri,20120619,20120619,20120619/042846-M-pyramid.tiff,1343711749,6d38a523d32259cf4f0c2f743ff2e6ac
027311-metasys-20120619-bri,27311,0,metasys-20120619-bri,20120619,20120619,20120619/027311-M-pyramid.tiff,1343677462,d4cee2e41e100a669691351c2982c7e6
1980-metasys-20120619-bri,1980,0,metasys-20120619-bri,20120619,20120619,20120619/1980-M-pyramid.tiff,1343747798,eb9e8e3d2c0762d617c0fad39f1ecba1
027873-metasys-20120619-bri,27873,0,metasys-20120619-bri,20120619,20120619,20120619/027873-M-pyramid.tiff,1343681428,c53c2b387e621a9dab5761ec49116ea8
039540-metasys-20120619-bri,39540,0,metasys-20120619-bri,20120619,20120619,20120619/039540-M-pyramid.tiff,1343700755,1bb43496d4ddfe1e1fd3253c905c4724
062602-metasys-20120619A-bri,62602,0,metasys-20120619A-bri,20120619,20120619,20120619/062602~A-M-pyramid.tiff,1343742560,f2ec9f46bd7aaff686222c562faf33d0
041292-metasys-20120619A-bri,41292,0,metasys-20120619A-bri,20120619,20120619,20120619/041292~A-M-pyramid.tiff,1343706705,4103b87cd64622f98ceed0ba5c7f2d7f
040569-metasys-20120619-bri,40569,0,metasys-20120619-bri,20120619,20120619,20120619/040569-M-pyramid.tiff,1343704010,8912b7a0a0fd966d6252d46043ed31f1
032892-metasys-20120619-bri,32892,0,metasys-20120619-bri,20120619,20120619,20120619/032892-M-pyramid.tiff,1343688797,30ea4e89fa3c7972a5a7ce2eb6859b49
033928-metasys-20120619-bri,33928,0,metasys-20120619-bri,20120619,20120619,20120619/033928-M-pyramid.tiff,1343691092,29aada86997f1fe765dbd54f52a7a602
029814-metasys-20120619-bri,29814,0,metasys-20120619-bri,20120619,20120619,20120619/029814-M-pyramid.tiff,1343686217,6172801b4ddb4568cac5d58724e01b7b
054914-metasys-20120619-bri,54914,0,metasys-20120619-bri,20120619,20120619,20120619/054914-M-pyramid.tiff,1343724919,e3f02320d75b496f69647bd9faf17c45
1966-metasys-20120619-bri,1966,0,metasys-20120619-bri,20120619,20120619,20120619/1966-M-pyramid.tiff,1343747371,18b3badbb1e3e694788686b7c0f5595e
013033-metasys-20120619A-bri,13033,0,metasys-20120619A-bri,20120619,20120619,20120619/013033~A-M-pyramid.tiff,1343653510,fd655034453d20c34f125822986c3852
015160-metasys-20120619A-bri,15160,0,metasys-20120619A-bri,20120619,20120619,20120619/015160~A-M-pyramid.tiff,1343659035,bdc9943bc6836e81897c5eabaabba090
013334-metasys-20120619-bri,13334,0,metasys-20120619-bri,20120619,20120619,20120619/013334-M-pyramid.tiff,1343653811,b04c2ad3ce91f22f8e0e79812544645a
056759-metasys-20120619A-bri,56759,0,metasys-20120619A-bri,20120619,20120619,20120619/056759~A-M-pyramid.tiff,1343725456,173494a291d770a4782c720216036629
029790-metasys-20120619-bri,29790,0,metasys-20120619-bri,20120619,20120619,20120619/029790-M-pyramid.tiff,1343684425,f806a2c8ce2fed8899e1591b0e76e70f
